	id	title	total.gross	distributer	genre	release.date	runtime	budget	MPAA.rating
918	hornetsnest.htm	The Girl Who Kicked the Hornet's Nest 	5190196	Music Box Films	Foreign	29/10/10	2 hrs. 28 min.	N/A	R
919	horriblebosses.htm	Horrible Bosses 	117538559	Warner Bros. (New Line)	Comedy	8/7/11	1 hrs. 40 min.	$35 million	R
920	hortonhearsawho.htm	Dr. Seuss' Horton Hears a Who! 	154529439	Fox	Animation	14/3/08	1 hrs. 28 min.	$85 million	G
921	host.htm	The Host 	2201923	Magnolia	Foreign / Horror	9/3/07	1 hrs. 58 min.	N/A	R
922	hostel2.htm	Hostel Part II 	17609452	Lionsgate	Horror	8/6/07	1 hrs. 34 min.	$10.2 million	R
923	hotelfordogs.htm	Hotel for Dogs 	73034460	Paramount (DreamWorks)	Family	16/1/09	1 hrs. 40 min.	N/A	PG
924	hotfuzz.htm	Hot Fuzz 	23637265	Rogue Pictures	Comedy	20/4/07	2 hrs. 0 min.	N/A	R
925	hotrod.htm	Hot Rod 	13938332	Paramount	Action Comedy	3/8/07	1 hrs. 28 min.	N/A	PG-13
926	hotteststate.htm	The Hottest State 	31216	ThinkFilm	Drama	24/8/07	1 hrs. 57 min.	N/A	R
927	hottubtimemachine.htm	Hot Tub Time Machine 	50287556	MGM	Comedy	26/3/10	1 hrs. 40 min.	$36 million	R
928	hounddog.htm	Hounddog 	131961	Empire	Drama	19/9/08	1 hrs. 33 min.	N/A	R
929	house08.htm	House 	575048	Roadside Attractions	Horror	7/11/08	1 hrs. 28 min.	N/A	R
930	housebunny.htm	The House Bunny 	48237389	Sony / Columbia	Comedy	22/8/08	1 hrs. 34 min.	$25 million	PG-13
931	housemaid.htm	The Housemaid 	157961	IFC	Foreign	21/1/11	1 hrs. 47 min.	N/A	Unrated
932	houseofsand.htm	The House of Sand 	539285	Sony Classics	Foreign	11/8/06	1 hrs. 54 min.	N/A	R
933	houseofthedevil.htm	The House of the Devil 	101215	Magnolia	Horror	30/10/09	1 hrs. 35 min.	N/A	R
934	howaboutyou.htm	How About You 	78234	Strand	Comedy / Drama	14/11/08	1 hrs. 40 min.	N/A	Unrated
935	howardvaughnjames.htm	The Dilemma 	48475290	Universal	Comedy	14/1/11	1 hrs. 58 min.	$70 million	PG-13
936	howl.htm	Howl 	617334	Oscilloscope Pictures	Drama	24/9/10	1 hrs. 30 min.	N/A	R
937	howshemove.htm	How She Move 	7070641	Paramount Vantage	Music Drama	25/1/08	1 hrs. 38 min.	N/A	PG-13
938	howtocookyourlife.htm	How to Cook Your Life 	87370	Roadside Attractions	Foreign	26/10/07	1 hrs. 40 min.	N/A	PG-13
939	howtoeatfriedworms.htm	How to Eat Fried Worms 	13040527	New Line	Family Comedy	25/8/06	1 hrs. 38 min.	N/A	PG
940	howtoliveforever.htm	How to Live Forever 	60630	Variance Films	Documentary	13/5/11	1 hrs. 32 min.	N/A	Unrated
941	howtolosefriends.htm	How to Lose Friends and Alienate People 	2778752	MGM	Comedy	3/10/08	1 hrs. 50 min.	$28 million	R
942	howtotrainyourdragon.htm	How to Train Your Dragon 	217581231	Paramount (DreamWorks)	Animation	26/3/10	1 hrs. 38 min.	$165 million	PG
943	hrmanager.htm	The Human Resources Manager 	64014	Film Movement	Foreign	4/3/11	1 hrs. 43 min.	N/A	Unrated
944	hubble3d.htm	Hubble 3D 	NA	Warner Bros.	IMAX	19/3/10	0 hrs. 43 min.	N/A	G
945	humancentipede.htm	Human Centipede 	181467	IFC	Horror	30/4/10	1 hrs. 30 min.	N/A	R
946	humboldtcounty.htm	Humboldt County 	82357	Magnolia	Comedy / Drama	26/9/08	1 hrs. 37 min.	N/A	R
947	humpday.htm	Humpday 	407377	Magnolia	Comedy	10/7/09	1 hrs. 33 min.	N/A	R
948	hunger08.htm	Hunger 	154084	IFC	Drama	5/12/08	1 hrs. 36 min.	N/A	Unrated
949	huntingparty.htm	The Hunting Party 	969869	MGM (Weinstein)	Drama / Thriller	7/9/07	1 hrs. 43 min.	N/A	R
950	hurtlocker.htm	The Hurt Locker 	17017811	Summit Entertainment	War	26/6/09	2 hrs. 10 min.	$15 million	R
951	iam.htm	I Am 	1591034	Paladin	Documentary	18/2/11	1 hrs. 27 min.	N/A	Unrated
952	iamasexaddict.htm	I Am a Sex Addict 	115694	IFC	Comedy	5/4/06	1 hrs. 30 min.	N/A	Unrated
953	iamlegend.htm	I Am Legend 	256393010	Warner Bros.	Sci-Fi Horror	14/12/07	1 hrs. 40 min.	$150 million	PG-13
954	iamlove.htm	I Am Love 	5005465	Magnolia	Foreign	18/6/10	2 hrs. 0 min.	N/A	R
955	iamnumberfour.htm	I Am Number Four 	55100437	Buena Vista	Sci-Fi Adventure	18/2/11	1 hrs. 44 min.	$60 million	PG-13
956	icandobadallbymyself.htm	Tyler Perry's I Can Do Bad All By Myself 	51733921	Lionsgate	Comedy / Drama	11/9/09	1 hrs. 53 min.	N/A	PG-13
957	icantthinkstraight.htm	I Can't Think Straight 	39576	Regent Releasing	Comedy	21/11/08	1 hrs. 20 min.	N/A	R
958	iceage2.htm	Ice Age: The Meltdown 	195330621	Fox	Animation	31/3/06	1 hrs. 30 min.	$80 million	PG
959	iceage3.htm	Ice Age: Dawn of the Dinosaurs 	196573705	Fox	Animation	1/7/09	1 hrs. 27 min.	$90 million	PG
960	iceblues.htm	Ice Blues: A Donald Strachey Mystery 	1377	Regent Releasing	Crime Drama	10/10/08	1 hrs. 24 min.	N/A	R
961	idiocracy.htm	Idiocracy 	444093	Fox	Sci-Fi Comedy	1/9/06	1 hrs. 24 min.	N/A	R
962	idontwanttosleepalone.htm	I Don't Want to Sleep Alone 	19292	Strand	Foreign	9/5/07	1 hrs. 55 min.	N/A	Unrated
963	igor.htm	Igor 	19528602	MGM	Animation	19/9/08	1 hrs. 26 min.	$25 million	PG
964	ihateluvstorys.htm	I Hate Luv Storys 	847993	UTV Communications	Foreign	30/6/10	2 hrs. 15 min.	N/A	Unrated
965	ihop.htm	Hop 	108085305	Universal	Comedy	1/4/11	1 hrs. 30 min.	$63 million	PG
966	ihopetheyservebeerinhell.htm	I Hope They Serve Beer in Hell 	1429299	Freestyle Releasing	Comedy	25/9/09	1 hrs. 45 min.	N/A	R
967	iknowwhokilledme.htm	I Know Who Killed Me 	7498716	Sony / Columbia	Thriller	27/7/07	1 hrs. 45 min.	N/A	R
968	ildivo.htm	Il Divo 	240159	Music Box Films	Foreign	24/4/09	1 hrs. 59 min.	N/A	Unrated
969	ilikekillingflies.htm	I Like Killing Flies 	16214	ThinkFilm	Documentary	28/7/06	1 hrs. 19 min.	N/A	R
