"","weeksFromEvent","N","successes","successRate","avg_duration","avg_amountPledged","avg_numBackers","avg_numCreated","hasVideoRate","mean_numWords","sum_numCreated","after"
"1",-30,160,40,0.25,32.2649549346065,3573.25494375,55.3,1.3125,0.69375,867.8375,210,FALSE
"2",-48,93,29,0.311827956989247,29.7096774193548,2740.07060752688,41.7311827956989,1.21505376344086,0.795698924731183,943.161290322581,113,FALSE
"3",16,151,35,0.231788079470199,32.4038754335296,2303.35226754967,35.4503311258278,1.35099337748344,0.602649006622517,1247.09933774834,204,TRUE
"4",-31,136,45,0.330882352941176,31.4394728240741,2863.00708088235,39.0147058823529,1.27941176470588,0.669117647058823,799.433823529412,174,FALSE
"5",-28,141,52,0.368794326241135,32.2610357220909,5335.36006382979,83.0567375886525,1.17021276595745,0.730496453900709,904.411347517731,165,FALSE
"6",23,153,49,0.320261437908497,32.3814978661341,2824.77344444444,92.2091503267974,1.22222222222222,0.607843137254902,1507.53594771242,187,TRUE
"7",47,170,54,0.317647058823529,33.1121104569717,5913.81192352941,95.7588235294118,1.34117647058824,0.505882352941176,1724.75882352941,228,TRUE
"8",-4,98,26,0.26530612244898,32.1083923970144,2874.58990816327,43.0408163265306,1.16326530612245,0.724489795918367,1213.32653061224,114,FALSE
"9",45,162,35,0.216049382716049,32.8396804162094,2096.46133950617,30.141975308642,1.25925925925926,0.407407407407407,1365.66049382716,204,TRUE
"10",-38,113,30,0.265486725663717,31.4568318674205,3252.37612672566,55.1150442477876,1.25663716814159,0.734513274336283,741.946902654867,142,FALSE
"11",-3,94,31,0.329787234042553,32.4951019749803,3800.32456382979,59.4893617021277,1.3936170212766,0.702127659574468,1238.18085106383,131,FALSE
"12",24,159,51,0.320754716981132,31.3920873765432,2161.93296226415,52.8490566037736,1.20754716981132,0.584905660377358,1554.1320754717,192,TRUE
"13",43,175,50,0.285714285714286,32.0793130278307,2263.27033142857,31.2914285714286,1.30857142857143,0.571428571428571,1598.62857142857,229,TRUE
"14",-27,115,32,0.278260869565217,33.3782984066023,3230.25569565217,48.0086956521739,1.11304347826087,0.721739130434783,809.704347826087,128,FALSE
"15",15,150,49,0.326666666666667,34.4498924962963,3518.41661333333,54.46,1.3,0.613333333333333,1548.96,195,TRUE
"16",40,165,55,0.333333333333333,33.4485106647587,7064.42758181818,120.551515151515,1.38181818181818,0.509090909090909,808.793939393939,228,TRUE
"17",6,227,39,0.171806167400881,32.1071386899168,1373.03567444934,24.5198237885463,1.15859030837004,0.440528634361233,981.519823788546,263,TRUE
"18",37,183,39,0.213114754098361,33.8596041132362,2305.25156284153,37.0109289617486,1.34426229508197,0.519125683060109,1382.49726775956,246,TRUE
"19",-19,136,39,0.286764705882353,34.0075754343682,6002.55892426471,134.470588235294,1.14705882352941,0.669117647058823,806.661764705882,156,FALSE
"20",-21,122,32,0.262295081967213,33.2309945765027,3320.69881147541,43.3032786885246,1.38524590163934,0.622950819672131,849.090163934426,169,FALSE
"21",50,108,24,0.222222222222222,30.4313687429698,2032.58212962963,24.9444444444444,1.4537037037037,0.564814814814815,1476.80555555556,157,TRUE
"22",8,225,46,0.204444444444444,32.9836134416461,1522.87783555556,27.3022222222222,1.20888888888889,0.48,1014.31555555556,272,TRUE
"23",12,157,43,0.273885350318471,31.9967456894315,2501.24477707006,36.9490445859873,1.2484076433121,0.598726114649682,1257.28025477707,196,TRUE
"24",-49,146,47,0.321917808219178,32.1849315068493,2303.07360890411,42.8424657534247,1.15753424657534,0.712328767123288,722.575342465753,169,FALSE
"25",-8,113,45,0.398230088495575,31.6578846288102,4123.76712389381,64.9203539823009,1.49557522123894,0.761061946902655,865.699115044248,169,FALSE
"26",-12,107,33,0.308411214953271,34.8937815619592,2969.67406542056,58.411214953271,1.20560747663551,0.728971962616822,893.523364485981,129,FALSE
"27",5,371,56,0.150943396226415,33.7296219798343,1329.4716296496,18.0539083557951,1.21563342318059,0.342318059299191,867.919137466307,451,TRUE
"28",36,120,34,0.283333333333333,33.4254334992284,1696.44683333333,29.5583333333333,1.4,0.391666666666667,1504.35,168,TRUE
"29",42,173,47,0.271676300578035,34.677412999893,2060.4690982659,36.1618497109827,1.23121387283237,0.53757225433526,1378.05780346821,213,TRUE
"30",18,137,44,0.321167883211679,32.0420449060557,2979.61545255474,45.1532846715328,1.24087591240876,0.693430656934307,1550.21897810219,170,TRUE
"31",-9,131,41,0.312977099236641,32.273437793469,3524.98845038168,47.412213740458,1.24427480916031,0.748091603053435,746.648854961832,163,FALSE
"32",22,145,41,0.282758620689655,33.8152697989783,2281.00751724138,38.5655172413793,1.2551724137931,0.551724137931034,1373.64137931034,182,TRUE
"33",1,128,34,0.265625,34.0512921195023,2368.39942039062,32.1328125,1.3359375,0.640625,1188.765625,171,TRUE
"34",28,108,25,0.231481481481481,35.5394613923182,1460.45837037037,31.0092592592593,1.43518518518519,0.444444444444444,1818.07407407407,155,TRUE
"35",-36,109,44,0.403669724770642,32.3874374464832,6175.15474311927,95.2752293577982,1.29357798165138,0.761467889908257,890.146788990826,141,FALSE
"36",-10,143,38,0.265734265734266,31.1780532931883,3080.75218531469,50.3986013986014,1.30769230769231,0.741258741258741,788,187,FALSE
"37",39,172,49,0.284883720930233,33.8568148734927,2725.89722093023,47.9767441860465,1.37790697674419,0.511627906976744,1103.73255813953,237,TRUE
"38",-2,97,29,0.298969072164948,32.7563787571592,2182.36199092783,32.7628865979381,1.4020618556701,0.65979381443299,1199.30927835052,136,FALSE
